,p,p|f=0,p|f=1,std,H,IG,IG ratio
"DP_(91.667, 154.333]",0.639683734939759,0.3573667711598746,0.36374337845791643,0.4800921309428833,0.9429453998562933,2.9312097646561064e-05,3.108567860984134e-05
"DP_(154.333, 217]",0.3042168674698795,0.36634199134199136,0.3502475247524752,0.4600749558677314,0.8863846472353568,0.00017180977143915754,0.0001938320705069002
"FP_(0.78, 0.85]",0.007153614457831325,0.3598786499810391,0.5789473684210527,0.08427597675506221,0.06126809223914111,0.001012788968210443,0.0165304472719231
"FP_(0.85, 0.921]",0.06588855421686747,0.3591293833131802,0.3942857142857143,0.24808718757745107,0.35038974011056234,0.00023506673973894276,0.0006708722112261893
"FP_(0.921, 0.991]",0.9269578313253012,0.41237113402061853,0.35743298131600326,0.2602057076045747,0.37717522357996813,0.0006280848827028285,0.001665233672406541
"attendance_(1795.433, 1436943.667]",0.6167168674698795,0.33398821218074654,0.3785103785103785,0.4861863560899414,0.9603278303254528,0.0014713311330510903,0.0015321133956437145
"attendance_(1436943.667, 2867799.333]",0.30384036144578314,0.37317468902109246,0.3345724907063197,0.4599145531533867,0.8859347899487594,0.0009916072395144138,0.0011192779093501524
"attendance_(2867799.333, 4298655]",0.07944277108433735,0.36400817995910023,0.33175355450236965,0.2704285806026778,0.4002127098954834,0.0002405646634788816,0.0006010920131489719
"BPF_(83.955, 99]",0.4559487951807229,0.3570934256055363,0.3666391412056152,0.4980557110946192,0.9943936095827863,7.062199194207697e-05,7.10201586791246e-05
"BPF_(99, 114]",0.5372740963855421,0.3677786818551668,0.3559915907498248,0.4986087060397495,0.9959874380299385,0.00010791916547148173,0.00010835394237998188
"BPF_(114, 129]",0.00677710843373494,0.36087945413191813,0.4444444444444444,0.0820437641445864,0.05857393648565343,0.0001429428873941374,0.0024403838288920288
"PPF_(85.957, 100.333]",0.5542168674698795,0.375,0.35054347826086957,0.49705183963220523,0.9915017866855544,0.00046142333696619353,0.00046537822035466454
"PPF_(100.333, 114.667]",0.4378765060240964,0.35164099129269927,0.37403267411865865,0.4961256609934912,0.9888355026179251,0.00038532851546813074,0.0003896790866104424
"PPF_(114.667, 129]",0.007906626506024096,0.36091081593927893,0.42857142857142855,0.08856699025776076,0.06657141159142245,0.00010968892217488868,0.0016476880924216695
